Date,Open,High,Low,Close,Adj Close,Volume
2024-01-25,156.949997,158.509995,154.550003,157.750000,157.750000,43638600
2024-01-26,158.419998,160.720001,157.910004,159.119995,159.119995,51047400
2024-01-29,159.339996,161.289993,158.899994,161.259995,161.259995,45270400
2024-01-30,160.699997,161.729996,158.490005,159.000000,159.000000,45207400
2024-01-31,157.000000,159.009995,154.809998,155.199997,155.199997,50284400
2024-02-01,155.869995,159.759995,155.619995,159.279999,159.279999,76542400
2024-02-02,169.190002,172.500000,167.330002,171.809998,171.809998,117154900
2024-02-05,170.199997,170.550003,167.699997,170.309998,170.309998,55081300
2024-02-06,169.389999,170.710007,167.649994,169.149994,169.149994,42505500
2024-02-07,169.479996,170.880005,168.940002,170.529999,170.529999,47174100
2024-02-08,169.649994,171.429993,168.880005,169.839996,169.839996,42316500
2024-02-09,170.899994,175.000000,170.580002,174.449997,174.449997,56986000
2024-02-12,174.800003,175.389999,171.539993,172.339996,172.339996,51050400
2024-02-13,167.729996,170.949997,165.750000,168.639999,168.639999,56345100
2024-02-14,169.210007,171.210007,168.279999,170.979996,170.979996,42815500
2024-02-15,170.580002,171.169998,167.589996,169.800003,169.800003,49855200
2024-02-16,168.740005,170.419998,167.169998,169.509995,169.509995,48074600
2024-02-20,167.830002,168.710007,165.740005,167.080002,167.080002,41980300
2024-02-21,168.940002,170.229996,167.139999,168.589996,168.589996,44575600
2024-02-22,173.100006,174.800003,171.770004,174.580002,174.580002,55392400
2024-02-23,174.279999,175.750000,173.699997,174.990005,174.990005,59715200
2024-02-26,175.699997,176.369995,174.259995,174.729996,174.729996,44368600
2024-02-27,174.080002,174.619995,172.860001,173.539993,173.539993,31141700
2024-02-28,172.440002,174.050003,172.270004,173.160004,173.160004,28180500
2024-02-29,173.009995,177.220001,172.850006,176.759995,176.759995,53805400
2024-03-01,176.750000,178.729996,176.070007,178.220001,178.220001,31956200
2024-03-04,177.529999,180.139999,177.490005,177.580002,177.580002,37381500
2024-03-05,176.929993,176.929993,173.300003,174.119995,174.119995,37228300
2024-03-06,175.539993,176.460007,173.259995,173.509995,173.509995,32090900
2024-03-07,174.830002,177.990005,173.720001,176.820007,176.820007,34063300
2024-03-08,176.440002,178.789993,174.330002,175.350006,175.350006,37853500
2024-03-11,174.309998,174.470001,171.470001,171.960007,171.960007,28484800
2024-03-12,173.500000,176.759995,171.979996,175.389999,175.389999,36610600
2024-03-13,175.899994,177.619995,175.550003,176.559998,176.559998,30772600
2024-03-14,177.690002,179.529999,176.470001,178.750000,178.750000,43705800
2024-03-15,176.639999,177.929993,173.899994,174.419998,174.419998,72115500
2024-03-18,175.800003,176.690002,174.279999,174.479996,174.479996,31250700
2024-03-19,174.220001,176.089996,173.520004,175.899994,175.899994,26880900
2024-03-20,176.139999,178.529999,174.639999,178.149994,178.149994,29947200
2024-03-21,179.990005,181.419998,178.149994,178.149994,178.149994,32824300
2024-03-22,177.750000,179.259995,176.750000,178.869995,178.869995,27964100
2024-03-25,178.009995,180.990005,177.240005,179.710007,179.710007,29815500
2024-03-26,180.149994,180.449997,177.949997,178.300003,178.300003,29659000
2024-03-27,179.880005,180.000000,177.309998,179.830002,179.830002,33272600
2024-03-28,180.169998,181.699997,179.259995,180.380005,180.380005,38051600
2024-04-01,180.789993,183.000000,179.949997,180.970001,180.970001,29174500
2024-04-02,179.070007,180.789993,178.380005,180.690002,180.690002,32611500
2024-04-03,179.899994,182.869995,179.800003,182.410004,182.410004,31046600
2024-04-04,184.000000,185.100006,180.000000,180.000000,180.000000,41624300
2024-04-05,182.380005,186.270004,181.970001,185.070007,185.070007,42335200
2024-04-08,186.899994,187.289993,184.809998,185.190002,185.190002,39221300
2024-04-09,187.240005,187.339996,184.199997,185.669998,185.669998,36546900
2024-04-10,182.770004,186.270004,182.669998,185.949997,185.949997,35879200
2024-04-11,186.740005,189.770004,185.509995,189.050003,189.050003,40020700
2024-04-12,187.720001,188.380005,185.080002,186.130005,186.130005,38554300
2024-04-15,187.429993,188.690002,183.000000,183.619995,183.619995,48052400
2024-04-16,183.270004,184.830002,182.259995,183.320007,183.320007,32891300
2024-04-17,184.309998,184.570007,179.820007,181.279999,181.279999,31359700
2024-04-18,181.470001,182.389999,178.649994,179.220001,179.220001,30723800
2024-04-19,178.740005,179.000000,173.440002,174.630005,174.630005,55950000
2024-04-22,176.940002,178.869995,174.559998,177.229996,177.229996,37924900
2024-04-23,178.080002,179.929993,175.979996,179.539993,179.539993,37046500
2024-04-24,179.940002,180.320007,176.179993,176.589996,176.589996,34185100
2024-04-25,169.679993,173.919998,166.320007,173.669998,173.669998,49249400
2024-04-26,177.800003,180.820007,176.130005,179.619995,179.619995,43919800
2024-04-29,182.750000,183.529999,179.389999,180.960007,180.960007,54063900
2024-04-30,181.089996,182.990005,174.800003,175.000000,175.000000,94639800
2024-05-01,181.639999,185.149994,176.559998,179.000000,179.000000,94645100
2024-05-02,180.850006,185.100006,179.910004,184.720001,184.720001,54303500
2024-05-03,186.990005,187.869995,185.419998,186.210007,186.210007,39172000
2024-05-06,186.279999,188.750000,184.800003,188.699997,188.699997,34725300
2024-05-07,188.919998,189.940002,187.309998,188.759995,188.759995,34048900
2024-05-08,187.440002,188.429993,186.389999,188.000000,188.000000,26136400
2024-05-09,188.880005,191.699997,187.440002,189.500000,189.500000,43368400
2024-05-10,189.160004,189.889999,186.929993,187.479996,187.479996,34141800
2024-05-13,188.000000,188.309998,185.360001,186.570007,186.570007,24898600
2024-05-14,183.820007,187.720001,183.449997,187.070007,187.070007,38698200
2024-05-15,185.970001,186.720001,182.729996,185.990005,185.990005,75459900
2024-05-16,185.600006,187.309998,183.460007,183.630005,183.630005,38834500
2024-05-17,183.759995,185.300003,183.350006,184.699997,184.699997,33175700
2024-05-20,184.339996,186.669998,183.279999,183.539993,183.539993,30511800
2024-05-21,182.300003,183.259995,180.750000,183.149994,183.149994,50839100
2024-05-22,183.880005,185.220001,181.970001,183.130005,183.130005,28148800
2024-05-23,183.660004,184.759995,180.080002,181.050003,181.050003,33670200
2024-05-24,181.649994,182.440002,180.300003,180.750000,180.750000,27434100
2024-05-28,179.929993,182.240005,179.490005,182.149994,182.149994,29927000
2024-05-29,181.699997,184.080002,181.550003,182.020004,182.020004,32009300
2024-05-30,181.309998,181.339996,178.360001,179.320007,179.320007,29249200
2024-05-31,178.300003,179.210007,173.869995,176.440002,176.440002,58903900
2024-06-03,177.699997,178.699997,175.919998,178.339996,178.339996,30786600
2024-06-04,177.639999,179.820007,176.440002,179.339996,179.339996,27198400
2024-06-05,180.100006,181.500000,178.750000,181.279999,181.279999,32116400
2024-06-06,181.750000,185.000000,181.490005,185.000000,185.000000,31371200
2024-06-07,184.899994,186.289993,183.360001,184.300003,184.300003,28021500
2024-06-10,184.070007,187.229996,183.789993,187.059998,187.059998,34494500
2024-06-11,187.059998,187.770004,184.539993,187.229996,187.229996,27265100
2024-06-12,188.020004,188.350006,185.429993,186.889999,186.889999,33984200
2024-06-13,186.089996,187.669998,182.669998,183.830002,183.830002,39721500
2024-06-14,183.080002,183.720001,182.229996,183.660004,183.660004,25456400
2024-06-17,182.520004,185.000000,181.220001,184.059998,184.059998,35601900
2024-06-18,183.740005,184.289993,181.429993,182.809998,182.809998,36659200
2024-06-20,182.910004,186.509995,182.720001,186.100006,186.100006,44726800
2024-06-21,187.800003,189.279999,185.860001,189.080002,189.080002,72931800
2024-06-24,189.330002,191.000000,185.330002,185.570007,185.570007,50610400
2024-06-25,186.809998,188.839996,185.419998,186.339996,186.339996,45898500
2024-06-26,186.919998,194.800003,186.259995,193.610001,193.610001,65103900
2024-06-27,195.009995,199.839996,194.199997,197.850006,197.850006,74397500
2024-06-28,197.729996,198.850006,192.500000,193.250000,193.250000,76930200
2024-07-01,193.490005,198.300003,192.820007,197.199997,197.199997,41192000
2024-07-02,197.279999,200.429993,195.929993,200.000000,200.000000,45600000
2024-07-03,199.940002,200.029999,196.759995,197.589996,197.589996,31597900
2024-07-05,198.649994,200.550003,198.169998,200.000000,200.000000,39858900
2024-07-08,200.039993,201.199997,197.960007,199.289993,199.289993,34767300
2024-07-09,199.399994,200.570007,199.050003,199.339996,199.339996,32700100
2024-07-10,200.000000,200.110001,197.690002,199.789993,199.789993,32883800
2024-07-11,200.089996,200.270004,192.860001,195.050003,195.050003,44565000
2024-07-12,194.800003,196.470001,193.830002,194.490005,194.490005,30598500
2024-07-15,194.559998,196.190002,190.830002,192.720001,192.720001,40683200
2024-07-16,195.589996,196.619995,192.240005,193.020004,193.020004,33994700
2024-07-17,191.350006,191.580002,185.990005,187.929993,187.929993,48076100
2024-07-18,189.589996,189.679993,181.449997,183.750000,183.750000,51043600
2024-07-19,181.139999,184.929993,180.110001,183.130005,183.130005,43081800
2024-07-22,185.000000,185.059998,182.479996,182.550003,182.550003,39931900
2024-07-23,184.100006,189.389999,183.559998,186.410004,186.410004,47537700
2024-07-24,183.199997,185.449997,180.410004,180.830002,180.830002,41532400
2024-07-25,182.910004,183.899994,176.800003,179.850006,179.850006,44464200
2024-07-26,180.389999,183.190002,180.240005,182.500000,182.500000,29506000
2024-07-29,183.839996,184.750000,182.380005,183.199997,183.199997,33270100
2024-07-30,184.720001,185.860001,179.380005,181.710007,181.710007,39508600
2024-07-31,185.050003,187.940002,184.460007,186.979996,186.979996,41667300
2024-08-01,189.289993,190.600006,181.869995,184.070007,184.070007,70435600
2024-08-02,166.750000,168.770004,160.550003,167.899994,167.899994,141448400
2024-08-05,154.210007,162.960007,151.610001,161.020004,161.020004,83149400
2024-08-06,161.710007,165.080002,158.539993,161.929993,161.929993,59950800
2024-08-07,166.550003,167.580002,161.429993,162.770004,162.770004,48408200
2024-08-08,165.169998,166.690002,162.550003,165.800003,165.800003,44518900
2024-08-09,166.399994,168.550003,165.889999,166.559998,166.559998,27511742
